ID,genre,performance,numberTitle,lyrics or line
1,뮤지컬,비틀쥬스,비틀쥬스,그게 바로 인생이야\n아무도 살아남지 못한다는 거
2,뮤지컬,더 라스트 키스,사랑이야,두려워 마 사랑이야\n어느새 날 감싸는 포근한 느낌
3,뮤지컬,버지니아 울프,원고지 앞에 필요한 것,서툴러도 괜찮아\n세련되지 않아도 괜찮아
4,뮤지컬,베어 더 뮤지컬,Are You There,흔해 빠진 기도라도\n제발 들어주세요
5,뮤지컬,후크,놀이를 시작해,아무도 너에게 강요하지 않아\n그냥 네 마음을 따라봐
6,뮤지컬,라이카,아름다워,나는 오직 나를 위해 아름다워\n이것이 바로 나만의 향기\n내가 택한 나의 본질
7,뮤지컬,하데스타운,Any way the wind blows,날씨가 네게 등 돌려도\n서둘러 길 떠날 수 밖에\n그저 바람 따라서
8,뮤지컬,베르사유의 장미,마담 드 폴리냑,오늘을 잊고 그냥 즐겨\n하루 종일 나만 바라봐
9,뮤지컬,레미제라블,민중의 노래,"심장 박동 요동쳐 북소리 되어 울릴 때,\n내일이 열려 밝은 아침이 오리라"
10,뮤지컬,홍련,사랑하라,자신을 보듬으며\n귀하게 사랑할 것
11,뮤지컬,데스노트,정의는 어디에,아무런 의미 없는 논쟁일 뿐야\n정의는 쓸 데 없는 이론일 뿐야
12,뮤지컬,일 테노레,작고 완벽한 세상,이상하지 모두 날 보는데\n아득히 편안한 기분이 들어\n내가 나일 수 있는 곳
13,뮤지컬,컴프롬어웨이,Me and the sky,어느샌가 내가 캡틴\n어느새 하늘 위에\n철 없던 꼬마가 해낸거야
14,뮤지컬,보이A,새로운 이름,아주 오랜만에 만난 세상\n두렵지만 앞으로 펼쳐질 새로운 인생
15,뮤지컬,모딜리아니,3분 40초,날 재촉하는 리듬에도\n기죽지 않아
16,뮤지컬,브라더스 까라마조프,발작,이건 정말이지 헛소리가 아니야
17,뮤지컬,위키드,One short day,눈길이 닿는 어느 곳이든 멋진 일로 가득\n그 어딜 가든 신나는 하루
18,뮤지컬,벤허,살아있으니까,오늘을 살아내고서\n내일을 살아갈 거야\n살아있으니까
19,뮤지컬,시카고,Roxie,유명한 여배우 제치고\n극장에 내 이름 걸 거야
20,뮤지컬,미드나잇 : 액터뮤지션,그날이 찾아왔어,Knock Knock Knock\n그날이 찾아왔어
21,뮤지컬,그레이하우스,배우가 된다면,커다란 문 뒤로 펼쳐진\n좁은 계단을 내려가
22,뮤지컬,어쩌면 해피엔딩,"생각보다, 생각만큼",생각만큼 어렵지 않은 걸\n두렵지 않은 걸\n함께 나온 세상은 혼자인 것보다 나아
23,뮤지컬,지킬 앤 하이드,this is the moment,지금 내겐 확신만 있을 뿐\n남은 건 이제 승리뿐
24,뮤지컬,브론테,찢겨진 페이지처럼,안개를 삼킨 것 같아 나\n아니 번개를 삼킨 것 같아
25,뮤지컬,베르테르,언젠가 그날,때로는 비바람 불겠지만\n어김없이 그날에 피어나리
26,뮤지컬,몬테크리스토,너희에게 선사하는 지옥,선물할게 끔찍한 지옥 너희들에게
27,뮤지컬,경종수정실록,나만 아는 이야기,이제서야 모든 것이 확실하고 분명해져
28,뮤지컬,베토벤,내 운명 앞에 나,고통도 절망도\n날 막지 못 해\n자유 그것이 나의 운명
29,뮤지컬,헤드윅,Wig in the box,나는 나 세상 단 하나\n이 세상 누구보다 멋진 나
30,뮤지컬,비스티,아름다운 밤이여!,"오, 아름다운 밤이여!\n정오의 햇살보다 눈부신 그대여"
31,뮤지컬,전국의 리틀 농구단,농구 한 판,아무 생각말고 던져\n문제를 속 시원히 풀어
32,뮤지컬,미세스 다웃파이어,AS LONG AS THERE IS LOVE,"우리에게 중요한 건 뭐?\nLOVE!\n다 괜찮을 거야, 사랑이 있는 한"
33,뮤지컬,스웨그에이지: 외쳐 조선!,시조의 나라,살아가는 모든 것에\n깨달음을 얻고\n힘겨운 역경도 거뜬히 넘어가
34,뮤지컬,넥스트 투 노멀,헤이 #3 / 완벽한 짝,"네가 미쳐가면 같이 미쳐줄게\n그래 때론 삶은 광기,\n미치는 건 나 자신있어"
35,뮤지컬,빨래,슬플 땐 빨래를 해,빨래가 마르는 것처럼\n슬픈 네 눈물도 마를 거야\n자 힘을 내
36,뮤지컬,아이다,My strongest suit,평범한 것 난 정말 싫어\n내 드레스가 바로 또 다른 나
37,뮤지컬,렛미플라이,세상은 변해가,"봐, 세상은 변해가 불가능한 건 없어\n이 변해가는 세상이\n널 어디로 데려갈까"
38,뮤지컬,어쩌면 해피엔딩,나의 방 안엔,오늘 서울 하늘 무척이나 맑음\n오늘 내 방 안은 늘 그렇듯 따뜻
